name,MS-SSIM,PSNR,category,quality,size
00002_SD_medium_pipeline_4.png,0.95456,35.2602,pipeline_4,medium,SD
00002_SD_medium_pipeline_5.png,0.96357,35.8003,pipeline_5,medium,SD
00002_SD_medium_pipeline_6.png,0.938,33.1739,pipeline_6,medium,SD
00003_1K_high_pipeline_1.png,0.983673,41.9346,pipeline_1,high,1K
00003_1K_high_pipeline_2.png,0.981393,39.8203,pipeline_2,high,1K
00003_1K_high_pipeline_3.png,0.976757,38.1951,pipeline_3,high,1K
00003_1K_high_pipeline_4.png,0.958091,36.155,pipeline_4,high,1K
00003_1K_high_pipeline_5.png,0.964843,34.9088,pipeline_5,high,1K
00003_1K_high_pipeline_6.png,0.973344,38.0946,pipeline_6,high,1K
00003_1K_low_pipeline_1.png,0.966846,38.7513,pipeline_1,low,1K
00003_1K_low_pipeline_2.png,0.948742,33.6092,pipeline_2,low,1K
00003_1K_low_pipeline_3.png,0.955134,35.298,pipeline_3,low,1K
00003_1K_low_pipeline_4.png,0.945983,34.7954,pipeline_4,low,1K
00003_1K_low_pipeline_5.png,0.959147,35.4243,pipeline_5,low,1K
00003_1K_low_pipeline_6.png,0.943685,34.6432,pipeline_6,low,1K
00003_1K_medium_pipeline_1.png,0.973286,39.8873,pipeline_1,medium,1K
00003_1K_medium_pipeline_2.png,0.957856,34.57,pipeline_2,medium,1K
00003_1K_medium_pipeline_3.png,0.963834,36.6922,pipeline_3,medium,1K
00003_1K_medium_pipeline_4.png,0.955327,35.5454,pipeline_4,medium,1K
00003_1K_medium_pipeline_5.png,0.951786,33.8626,pipeline_5,medium,1K
00003_1K_medium_pipeline_6.png,0.955171,35.7335,pipeline_6,medium,1K
00003_SD_high_pipeline_1.png,0.983355,41.7213,pipeline_1,high,SD
00003_SD_high_pipeline_2.png,0.961837,34.5787,pipeline_2,high,SD
00003_SD_high_pipeline_3.png,0.967693,35.3835,pipeline_3,high,SD
00003_SD_high_pipeline_4.png,0.938284,33.3983,pipeline_4,high,SD
00003_SD_high_pipeline_5.png,0.973629,36.9204,pipeline_5,high,SD
00003_SD_high_pipeline_6.png,0.973255,37.751,pipeline_6,high,SD
00003_SD_low_pipeline_1.png,0.967738,38.7077,pipeline_1,low,SD
00003_SD_low_pipeline_2.png,0.948296,33.515,pipeline_2,low,SD
00003_SD_low_pipeline_3.png,0.954155,35.11,pipeline_3,low,SD
00003_SD_low_pipeline_4.png,0.950307,34.7836,pipeline_4,low,SD
00003_SD_low_pipeline_5.png,0.938295,32.8266,pipeline_5,low,SD
00003_SD_low_pipeline_6.png,0.972179,40.3267,pipeline_6,low,SD
00003_SD_medium_pipeline_1.png,0.972186,39.6196,pipeline_1,medium,SD
00003_SD_medium_pipeline_2.png,0.957034,34.1626,pipeline_2,medium,SD
00003_SD_medium_pipeline_3.png,0.96078,36.1362,pipeline_3,medium,SD
00003_SD_medium_pipeline_4.png,0.956616,35.5005,pipeline_4,medium,SD
00003_SD_medium_pipeline_5.png,0.964282,35.7133,pipeline_5,medium,SD
00003_SD_medium_pipeline_6.png,0.952419,35.3401,pipeline_6,medium,SD
00004_1K_high_pipeline_1.png,0.982102,40.7475,pipeline_1,high,1K
00004_1K_high_pipeline_2.png,0.964371,35.0993,pipeline_2,high,1K
00004_1K_high_pipeline_3.png,0.988846,43.5862,pipeline_3,high,1K
00004_1K_high_pipeline_4.png,0.96,36.2682,pipeline_4,high,1K
00004_1K_high_pipeline_5.png,0.972927,37.145,pipeline_5,high,1K
00004_1K_high_pipeline_6.png,0.97404,38.1256,pipeline_6,high,1K
00004_1K_low_pipeline_1.png,0.963962,37.623,pipeline_1,low,1K
00004_1K_low_pipeline_2.png,0.946557,33.4772,pipeline_2,low,1K
00004_1K_low_pipeline_3.png,0.980398,41.2461,pipeline_3,low,1K
00004_1K_low_pipeline_4.png,0.976961,40.3196,pipeline_4,low,1K
00004_1K_low_pipeline_5.png,0.959614,35.4998,pipeline_5,low,1K
00004_1K_low_pipeline_6.png,0.924855,32.3744,pipeline_6,low,1K
00004_1K_medium_pipeline_1.png,0.969208,38.5837,pipeline_1,medium,1K
00004_1K_medium_pipeline_2.png,0.957052,34.5619,pipeline_2,medium,1K
00004_1K_medium_pipeline_3.png,0.960395,36.3649,pipeline_3,medium,1K
00004_1K_medium_pipeline_4.png,0.952784,35.5427,pipeline_4,medium,1K
00004_1K_medium_pipeline_5.png,0.964173,36.1338,pipeline_5,medium,1K
00004_1K_medium_pipeline_6.png,0.954777,35.5238,pipeline_6,medium,1K
00004_SD_high_pipeline_1.png,0.981538,40.4845,pipeline_1,high,SD
00004_SD_high_pipeline_2.png,0.982309,39.8634,pipeline_2,high,SD
00004_SD_high_pipeline_3.png,0.977011,37.8685,pipeline_3,high,SD
00004_SD_high_pipeline_4.png,0.961977,36.1808,pipeline_4,high,SD
00004_SD_high_pipeline_5.png,0.972163,36.817,pipeline_5,high,SD
00004_SD_high_pipeline_6.png,0.974043,38.0406,pipeline_6,high,SD
00004_SD_low_pipeline_1.png,0.962053,37.4751,pipeline_1,low,SD
00004_SD_low_pipeline_2.png,0.951595,33.6108,pipeline_2,low,SD
00004_SD_low_pipeline_3.png,0.933349,32.8392,pipeline_3,low,SD
00004_SD_low_pipeline_4.png,0.925046,32.4092,pipeline_4,low,SD
00004_SD_low_pipeline_5.png,0.957283,34.8472,pipeline_5,low,SD
00004_SD_low_pipeline_6.png,0.942679,34.1117,pipeline_6,low,SD
00004_SD_medium_pipeline_1.png,0.968785,38.4282,pipeline_1,medium,SD
00004_SD_medium_pipeline_2.png,0.979468,39.4619,pipeline_2,medium,SD
00004_SD_medium_pipeline_3.png,0.960441,36.1266,pipeline_3,medium,SD
00004_SD_medium_pipeline_4.png,0.955328,35.2059,pipeline_4,medium,SD
00004_SD_medium_pipeline_5.png,0.984317,40.1334,pipeline_5,medium,SD
00004_SD_medium_pipeline_6.png,0.955315,35.6161,pipeline_6,medium,SD
00005_1K_high_pipeline_1.png,0.981286,40.3248,pipeline_1,high,1K
00005_1K_high_pipeline_2.png,0.964011,35.1243,pipeline_2,high,1K
00005_1K_high_pipeline_3.png,0.976063,38.0313,pipeline_3,high,1K
00005_1K_high_pipeline_4.png,0.940147,33.6387,pipeline_4,high,1K
00005_1K_high_pipeline_5.png,0.972081,36.9546,pipeline_5,high,1K
00005_1K_high_pipeline_6.png,0.985384,43.6617,pipeline_6,high,1K
00005_1K_low_pipeline_1.png,0.961785,37.3029,pipeline_1,low,1K
00005_1K_low_pipeline_2.png,0.925877,31.5083,pipeline_2,low,1K
00005_1K_low_pipeline_3.png,0.955643,35.5325,pipeline_3,low,1K
00005_1K_low_pipeline_4.png,0.946532,34.7372,pipeline_4,low,1K
00005_1K_low_pipeline_5.png,0.955214,34.9401,pipeline_5,low,1K
00005_1K_low_pipeline_6.png,0.944699,34.5116,pipeline_6,low,1K
00005_1K_medium_pipeline_1.png,0.968322,38.3166,pipeline_1,medium,1K
00005_1K_medium_pipeline_2.png,0.953039,34.3237,pipeline_2,medium,1K
00005_1K_medium_pipeline_3.png,0.948183,34.0756,pipeline_3,medium,1K
00005_1K_medium_pipeline_4.png,0.956695,35.785,pipeline_4,medium,1K
00005_1K_medium_pipeline_5.png,0.962973,36.0413,pipeline_5,medium,1K
00005_1K_medium_pipeline_6.png,0.953331,35.5846,pipeline_6,medium,1K
00005_SD_high_pipeline_1.png,0.981028,40.1101,pipeline_1,high,SD
00005_SD_high_pipeline_2.png,0.964088,34.6019,pipeline_2,high,SD
00005_SD_high_pipeline_3.png,0.976514,37.8555,pipeline_3,high,SD
00005_SD_high_pipeline_4.png,0.961627,36.1393,pipeline_4,high,SD
00005_SD_high_pipeline_5.png,0.971536,36.6378,pipeline_5,high,SD
00005_SD_high_pipeline_6.png,0.966327,35.3533,pipeline_6,high,SD
